candidate_id,content,llm_label,supports_violation,precedent_id,canonical_ids,document_page,document_url,keep?
nad_1153,Dr. Hart’s Power Floss,ad_copy,no,prec.caru.allstar_products_group_says_it_will_voluntarily_disc_2016_7e934c,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/allstar-products-group-says-it-will-voluntarily-discontinue-power-floss-commercial-following-caru-in,
nad_1626,Yummy Nummies Mini Kitchen Magic,ad_copy,no,prec.caru.blip_toys_to_revise_tv_commercial_for_yummy_nummies__2015_67e1bf,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/blip-toys-to-revise-tv-commercial-for-yummy-nummies-to-better-disclose-need-for-microwave-depict-adu,
nad_3475,forward to a friend,ad_copy,yes,prec.caru.caru_club_libby_lu_2020_ddeee9,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-club-libby-lu,
nad_2431,Made with 1 lb. of Real Fruit in Every Carton,ad_copy,no,prec.caru.caru_determines_del_monte_can_support_claims_for_fru_2009_79048d,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-determines-del-monte-can-support-claims-for-fruit-chillers,
nad_2432,Made with 1 lb. of Real Fruit in Every Pack,ad_copy,no,prec.caru.caru_determines_del_monte_can_support_claims_for_fru_2009_79048d,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-determines-del-monte-can-support-claims-for-fruit-chillers,
nad_2433,Made with 1 lb. of Real Fruit in Every Box,ad_copy,no,prec.caru.caru_determines_del_monte_can_support_claims_for_fru_2009_79048d,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-determines-del-monte-can-support-claims-for-fruit-chillers,
nad_0272,"Introducing Yoplait Splitz, the yogurt that tastes like a sundae",ad_copy,unclear,prec.caru.caru_determines_general_mills_advertising_for_yoplai_2011_a7b76c,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-determines-general-mills-advertising-for-yoplait-splitz-isn-t-likely-to-confuse-child-consumers,
nad_0273,"Seriously, it’s yogurt",ad_copy,no,prec.caru.caru_determines_general_mills_advertising_for_yoplai_2011_a7b76c,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-determines-general-mills-advertising-for-yoplait-splitz-isn-t-likely-to-confuse-child-consumers,
nad_1488,"My 8 year old is using Dirty South Bat W.A.R. … he is hitting the fence at 210ft!!!! Love these, have several other brands, but he won’t use anything else!",ad_copy,yes,prec.caru.caru_examines_ad_for_dirty_south_bat_s_w_a_r_product_2016_838b82,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-examines-ad-for-dirty-south-bat-s-w-a-r-product-recommends-advertiser-modify-discontinue-claim,
nad_1489,he is hitting the fence at 210ft!,ad_copy,yes,prec.caru.caru_examines_ad_for_dirty_south_bat_s_w_a_r_product_2016_838b82,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-examines-ad-for-dirty-south-bat-s-w-a-r-product-recommends-advertiser-modify-discontinue-claim,
nad_1490,Only wish we could afford more for the entire team and they’d be dominant!,ad_copy,yes,prec.caru.caru_examines_ad_for_dirty_south_bat_s_w_a_r_product_2016_838b82,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-examines-ad-for-dirty-south-bat-s-w-a-r-product-recommends-advertiser-modify-discontinue-claim,
nad_1282,Boys Life Cybersearch Sweepstakes,ad_copy,no,prec.caru.caru_examines_boy_scouts_sweepstakes_advertising_rec_2015_e6c81e,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-examines-boy-scouts-sweepstakes-advertising-recommends-modifications,
nad_1736,Enter a new adventure at MegaBloks.com. You can join the battle. This is Dragons Universe,ad_copy,no,prec.caru.caru_examines_consumer_generated_imagery_in_advertis_2011_2d769c,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-examines-consumer-generated-imagery-in-advertising-for-mega-brands-dragons-universe,
nad_1737,Digitize. Rebuild! Dragons Universe. Battle for your lives in 15 levels of game play. The adventure begins at Megabloks.com,ad_copy,no,prec.caru.caru_examines_consumer_generated_imagery_in_advertis_2011_2d769c,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-examines-consumer-generated-imagery-in-advertising-for-mega-brands-dragons-universe,
nad_1598,WhoNu? Nutrient Rich Cookies,ad_copy,no,prec.caru.caru_examines_suncore_advertising_for_whonu_cookie_2012_fe791a,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-examines-suncore-advertising-for-whonu-cookie,
nad_1731,Minnie’s Sparkle n’ Spin Fashion Bow-tique,ad_copy,no,prec.caru.caru_finds_commercial_that_aired_on_disney_channel_w_2017_a75088,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-finds-commercial-that-aired-on-disney-channel-was-in-compliance-with-caru-guidelines,
nad_1910,Terms of Use,ad_copy,no,prec.caru.caru_google_collaborate_to_ensure_children_s_privacy_2009_a76f8d,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-google-collaborate-to-ensure-children-s-privacy-protection-on-gmail-com,
nad_3462,Battle Strikers Turbo Tops,ad_copy,no,prec.caru.caru_mega_brands_2020_4dc2dd,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-mega-brands,
nad_1799,"Get Permission, since you’re under 13 we must email your parent/guardian to get their permission!",ad_copy,yes,prec.caru.caru_recommends_agkidzone_take_steps_to_better_prote_2009_f56fc7,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-recommends-agkidzone-take-steps-to-better-protect-children-s-online-privacy-company-agrees-to-d,
nad_1800,Click yes or no if you are a parent/guardian,ad_copy,yes,prec.caru.caru_recommends_agkidzone_take_steps_to_better_prote_2009_f56fc7,misleading.unsubstantiated_objective_claims,1,https://bbbprograms.org/media/newsroom/decisions/caru-recommends-agkidzone-take-steps-to-better-protect-children-s-online-privacy-company-agrees-to-d,
